review_lane,rank,tier,priority_score,wallet_address,gmgn_url,label,llm_verdict,llm_recommended_action,llm_confidence,llm_reasoning,import_block_reason,kol_like,owner_manual_label,gmgn_realized_profit_usd,gmgn_winrate,gmgn_buy_count,gmgn_sell_count,gmgn_tags,okx_win_rate,okx_preferred_mcap,target_sightings,target_tokens,target_share,sightings_per_day,days_since_last_seen,owner_insight,owner_decision,owner_notes
blocked,34,A,127.1,5B52w1ZW9tuwUduueP5J7HXz5AcGfruGoX6YoAudvyxG,https://gmgn.ai/sol/address/5B52w1ZW9tuwUduueP5J7HXz5AcGfruGoX6YoAudvyxG,Yenni,inflated_or_wash,remove,90,KOL-like wallet with a poor GMGN win rate (39%) and recent sell actions at $0 amount suggest inflated or noisy KOL flow.,kol_like,true,,,0.38857142857142857,,,kol|app_smart_money|axiom|padre,,,5,4,0.625,,,,,
blocked,128,B,93.3,8E1G1qWQZERejrGLF1ye66cx1xBUGp2Tahh6tTGYsPsB,https://gmgn.ai/sol/address/8E1G1qWQZERejrGLF1ye66cx1xBUGp2Tahh6tTGYsPsB,加密帅,inflated_or_wash,remove,90,"KOL with negative PnL, low winrate, and no trader actions is noisy and unprofitable.",kol_like,true,,,0.3469387755102041,,,kol|axiom|gmgn,,,2,2,1.000,,,,,
blocked,155,B,86.8,73f1cxg7cMM52fdLjKXcadKhi7GWV6MSZkWrdq7w7bNM,https://gmgn.ai/sol/address/73f1cxg7cMM52fdLjKXcadKhi7GWV6MSZkWrdq7w7bNM,枯坐p小将,inflated_or_wash,remove,75,"Wallet is a KOL with negative PnL and no trader actions, making it noisy influencer flow.",kol_like,true,,,0.39215686274509803,,,top_renamed|photon|app_smart_money|trojan|axiom|gmgn,,,2,2,0.400,,,,,
blocked,156,B,85.3,8gW5oJqmrDk7Ja8kpTcwba3tDFx4PuexgYg9QdCCZDiM,https://gmgn.ai/sol/address/8gW5oJqmrDk7Ja8kpTcwba3tDFx4PuexgYg9QdCCZDiM,▲lex,inflated_or_wash,remove,85,"KOL with extremely low winrate, no trader actions, and many tokens created indicates noisy flow.",kol_like,true,,,0.06896551724137931,,,kol|gmgn,,,2,2,0.222,,,,,
blocked,157,B,85,J3CuQHzVmSvrYSMhvUU2dTsZB9Z4R2UKENyhDiJ5W95K,https://gmgn.ai/sol/address/J3CuQHzVmSvrYSMhvUU2dTsZB9Z4R2UKENyhDiJ5W95K,0x高达,inflated_or_wash,remove,90,"KOL-like with negative PnL, very low winrate (17%), and all sightings are holds, indicating noisy influencer flow not profitable trading.",kol_like,true,,,0.17142857142857143,,,kol|gmgn,,,2,2,0.333,,,,,
owner_review,11,A,157.5,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,https://gmgn.ai/sol/address/suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,Cupsey,inflated_or_wash,demote,85,"KOL-like profile with high followers but no stored trade activity and only holder sightings, indicating noisy influencer flow without profitable trading evidence.",,true,,,0.4785867237687366,,,kol|photon|axiom,,,3,3,0.300,,,,,
owner_review,16,A,150.4,7wiEWKeG7sFUNh1TgujwCa9cmJtSSE4mNLDde7knjoeE,https://gmgn.ai/sol/address/7wiEWKeG7sFUNh1TgujwCa9cmJtSSE4mNLDde7knjoeE,,bot_or_sniper,demote,85,High token creation count and bundler tags suggest automated bot activity.,,false,,,0.42857142857142855,,,bullx|padre|axiom|smart_degen,,,3,3,0.200,,,,,
owner_review,17,A,144.1,FpD6n8gfoZNxyAN6QqNH4TFQdV9vZEgcv5W4H2YL8k4X,https://gmgn.ai/sol/address/FpD6n8gfoZNxyAN6QqNH4TFQdV9vZEgcv5W4H2YL8k4X,Hesi,inflated_or_wash,demote,70,"KOL wallet with low win rate, negative PnL, and only holder sightings indicates noisy or unprofitable influence flow.",,true,,,0.3786008230452675,,,gmgn|kol|top_renamed|wash_trader|padre|axiom,,,3,3,0.333,,,,,
owner_review,19,B,142.5,AVjEtg2ECYKXYeqdRQXvaaAZBjfTjYuSMTR4WLhKoeQN,https://gmgn.ai/sol/address/AVjEtg2ECYKXYeqdRQXvaaAZBjfTjYuSMTR4WLhKoeQN,Putrick,inflated_or_wash,demote,85,"KOL-like wallet with 58K followers but only holder sightings; no profitable trade evidence despite high PnL from holdings, typical noisy influencer flow.",,true,,,0.4035608308605341,,,kol|axiom,,,2,2,1.000,,,,,
owner_review,22,B,141.1,DxM1hfY8FQ8dNGrucuJzhJcF8KRbjk8WBwrgKvQ9spPv,https://gmgn.ai/sol/address/DxM1hfY8FQ8dNGrucuJzhJcF8KRbjk8WBwrgKvQ9spPv,RC,inflated_or_wash,demote,70,"KOL wallet with low win rate, no trade actions, and large holder amounts suggests noisy or unprofitable influence flow.",,true,,,0.48484848484848486,,,kol|fomo,,,2,2,0.333,,,,,
owner_review,49,B,116.7,DSUAixPqvUXFX46SvFm7LRYQkthpJom6XsjZn4vTkKaa,https://gmgn.ai/sol/address/DSUAixPqvUXFX46SvFm7LRYQkthpJom6XsjZn4vTkKaa,Wick李🔶 BNB,inflated_or_wash,demote,70,"KOL wallet with low win rate, negative PnL, and only holder sightings indicates noisy or unprofitable influence flow.",,true,,,0.25,,,kol|app_smart_money|gmgn,,,2,2,0.286,,,,,
owner_review,65,B,112,HW1wbyPSa7QTqjRzD4kCKZyBbXFzR8cA7sJqBrzrJ6o4,https://gmgn.ai/sol/address/HW1wbyPSa7QTqjRzD4kCKZyBbXFzR8cA7sJqBrzrJ6o4,,inflated_or_wash,demote,75,"Fresh wallet with all holds, unavailable amounts, and token tags bundler/paper_hands, indicating likely wash trading or bot activity.",,false,,,0.5919540229885057,,,fresh_wallet|axiom,,,2,2,0.667,,,,,
owner_review,72,B,108.1,J6kZjUBfRhgxXjcQWTyLJimZWKHT4evAJSmhN9rHAQkr,https://gmgn.ai/sol/address/J6kZjUBfRhgxXjcQWTyLJimZWKHT4evAJSmhN9rHAQkr,,inflated_or_wash,demote,70,"All sightings are holds with unavailable amounts, token tags bundler/paper_hands, and low winrate (54%) suggest wash trading.",,false,,,0.5408163265306123,,,axiom|smart_degen,,,2,2,0.667,,,,,
